question,expected_answer,generated_answer,expected_guideline,generated_guideline,guideline_match,answer_correct
When should genetic testing for cancer predisposition genes beyond BRCA1/2 be considered?,"Testing should be offered if high penetrance genes (e.g., PALB2, TP53) could influence therapy, surgical decisions, or family risk assessment.","After reviewing the information provided, I can provide a clear answer to your question about when genetic testing for cancer predisposition genes beyond BRCA1/2 should be considered:

Genetic testing for cancer predisposition genes beyond BRCA1/2 should be considered in the following situations:

For high-penetrance genes (PALB2, TP53, PTEN, STK11, CDH1):
- When results could inform medical therapy decisions
- When results may influence surgical decision-making
- When results help refine estimates of second primary cancer risk
- When results inform family risk assessment
- When the patient has personal or family history suggesting these specific syndromes

For moderate-penetrance genes:
- When the patient is already undergoing BRCA1/2 testing
- When results may inform risks of second primary cancers
- When results may inform family risk assessment

The decision to test for genes beyond BRCA1/2 should be made thoughtfully, considering:
- The patient's personal and family history
- Consultation with providers experienced in clinical cancer genetics
- The ability to properly interpret results

It's worth noting that testing for high-penetrance genes beyond BRCA1/2 is unusual unless specifically suggested by personal or family history, and that variants in moderate-penetrance genes currently lack direct treatment implications for the index breast cancer case.

TERMINATE",breast_cancer_1,breast_cancer_1,TRUE,YES
How should patients with variants of uncertain significance (VUS) be managed after genetic testing?,VUS should not alter management; patients should be followed up for reclassification and informed that reclassification is possible.,"I've reviewed the information about managing patients with variants of uncertain significance (VUS) after genetic testing. Here's a comprehensive answer:

# Management of Patients with VUS Results

When patients receive a variant of uncertain significance (VUS) result from genetic testing, the following approach should be taken:

## Primary Management Principles
1. **No Changes to Medical Management**: 
   - VUS results should NOT alter medical management decisions
   - Screening and risk reduction recommendations should be based solely on personal and family history, not the VUS

2. **Patient Education**:
   - Explain that VUS findings are common, especially with multi-gene panel testing
   - Inform patients that VUS may be reclassified in the future as either benign or pathogenic
   - Ensure patients understand the uncertainty associated with these results

3. **Follow-up Process**:
   - Establish a system for periodic follow-up to check for reclassification
   - Annual follow-up is suggested as reasonable in most cases
   - Clearly document the uncertain nature of the finding in medical records

## Additional Considerations
- **Genetic Expert Consultation**: Make consultation with clinical cancer genetics specialists available
- **Family Testing**: Testing family members specifically for a VUS is not recommended for clinical purposes (with rare exceptions)
- **Research Participation**: Consider referring patients to research studies focused on variant classification
- **Racial/Ethnic Awareness**: Acknowledge that VUS are more common in racial and ethnic minorities compared to non-Hispanic Whites

The cornerstone of VUS management is to base clinical decisions on traditional risk factors until more definitive classification becomes available.

TERMINATE",breast_cancer_1,breast_cancer_1,TRUE,YES
What germline testing strategy is recommended for patients with recurrent breast cancer?,BRCA1/2 testing is recommended regardless of family history for patients who are candidates for PARP inhibitor therapy.,"Based on my review of the information provided, the germline testing strategy recommended for patients with recurrent breast cancer is:

1. All patients with recurrent breast cancer (whether local or metastatic) who are candidates for PARP inhibitor therapy should be offered BRCA1/2 testing, regardless of their family history. This recommendation has a very high agreement rate of 97.50% among experts.

2. BRCA1/2 testing should be offered to patients who develop a second primary breast cancer, whether in the opposite (contralateral) or same (ipsilateral) breast. This recommendation has an agreement rate of 89.74%.

These recommendations are supported by clinical evidence showing that:
- PARP inhibitors improve progression-free survival in metastatic HER2-negative breast cancer patients with germline BRCA1/2 mutations
- Patients are more likely to have detectable BRCA1/2 pathogenic variants in the recurrent/secondary setting compared to primary diagnosis
- For patients with second breast cancers, testing for a broader panel of actionable genes is appropriate to account for potential differences in mutations across racial/ethnic groups

The primary purpose of this testing is to guide treatment decisions, particularly regarding the use of PARP inhibitor therapy in appropriate candidates. TERMINATE",breast_cancer_1,breast_cancer_1,TRUE,YES
What HER2 testing criteria should be used to determine eligibility for trastuzumab deruxtecan?,Patients with IHC 1+ or 2+/ISH not-amplified results are eligible; IHC 0 results are currently excluded.,"Based on the provided information, I'll provide a clear summary of the HER2 testing criteria for trastuzumab deruxtecan eligibility:

To be eligible for trastuzumab deruxtecan, patients must have:
1. HER2 IHC 1+ OR
2. HER2 IHC 2+ with ISH non-amplified results

Key points:
- Patients with IHC 0 are NOT eligible
- Testing should follow standard ASCO-CAP guidelines for scoring:
  - IHC 1+: Incomplete membrane staining that is faint/barely perceptible in >10% of tumor cells
  - IHC 2+: Weak to moderate complete membrane staining in >10% of tumor cells

Important testing considerations:
- Use 40x magnification for IHC assessment
- Consider second pathologist review for borderline cases
- Use appropriate controls
- Reports must include specific IHC scores rather than just ""HER2-negative"" status to properly identify eligible patients

TERMINATE",breast_cancer_2,breast_cancer_2,TRUE,YES
What are the best practices for distinguishing HER2 IHC 0 from 1+ results?,"Use standardized ASCO-CAP guidelines, high-power examination, second pathologist review, and careful attention to preanalytic conditions.","I apologize for the technical error. Let me try to answer your question about distinguishing HER2 IHC 0 from 1+ results based on my knowledge of pathology guidelines.

Best practices for distinguishing HER2 IHC 0 from 1+ results include:

1. Scoring criteria:
   - HER2 IHC 0: No staining or membrane staining that is incomplete and is faint/barely perceptible in ≤10% of tumor cells
   - HER2 IHC 1+: Incomplete membrane staining that is faint/barely perceptible in >10% of tumor cells

2. Evaluation techniques:
   - Use high-quality controls for each staining run
   - Evaluate only the invasive component of the tumor
   - Assess membrane staining only (not cytoplasmic)
   - Use high-magnification assessment to confirm faint staining
   - Evaluate the entire slide for heterogeneity

3. Quality assurance:
   - Regular calibration of the IHC testing system
   - Participation in proficiency testing programs
   - Dual review of borderline cases
   - Consider digital imaging to assist in standardization

4. Challenging situations:
   - Edge artifacts should not be considered
   - Crush artifacts may give false results and should be avoided
   - Cytoplasmic granular staining should be ignored
   - In heterogeneous cases, quantify the percentage of cells with each staining pattern

For cases difficult to distinguish between 0 and 1+, some laboratories implement a second review by another pathologist, or consider in situ hybridization testing if the clinical situation warrants further investigation.

TERMINATE",breast_cancer_2,breast_cancer_2,TRUE,YES
"What treatment is recommended for patients with hormone receptor-positive, HER2-negative metastatic breast cancer who have progressed on endocrine therapy and have received two prior lines of chemotherapy?","The use of sacituzumab govitecan (SG) is recommended based on evidence from the TROPiCS-02 trial, which demonstrated improved progression-free survival (PFS) and overall survival (OS) compared to treatment of physician's choice.","Based on the ASCO Guideline Rapid Recommendation Update, for patients with hormone receptor-positive, HER2-negative metastatic breast cancer who have progressed on endocrine therapy and have received at least two prior lines of chemotherapy, the recommended treatment is sacituzumab govitecan (SG).

This recommendation is supported by evidence from the TROPiCS-02 trial, which demonstrated:
- A 34% reduction in risk of progression or death with SG compared to physician's choice chemotherapy
- Improved median progression-free survival (5.5 months vs 4.0 months)
- Statistically significant improvement in overall survival (14.4 months vs 11.2 months)

The guideline classifies this as a strong, evidence-based recommendation with moderate quality evidence, where the benefits outweigh the harms. Key adverse events to monitor include diarrhea, febrile neutropenia, and neutropenic colitis.

TERMINATE",breast_cancer_4,breast_cancer_4,TRUE,YES
"For HER2-low metastatic breast cancer (IHC 1+ or 2+, ISH-negative) previously treated with one chemotherapy, what therapy offers improved survival?","Trastuzumab deruxtecan is recommended, offering a median PFS of 9.9 months and median OS of 23.4 months, based on DESTINY-Breast04 trial findings.","Based on the ASCO guideline rapid recommendation update, for patients with HER2-low metastatic breast cancer (IHC 1+ or 2+, ISH-negative) who have received at least one prior chemotherapy, trastuzumab deruxtecan offers improved survival compared to physician's choice of therapy.

The DESTINY-Breast04 phase III trial demonstrated significant survival benefits:
- Overall survival improved from 16.8 months with physician's choice therapy to 23.4 months with trastuzumab deruxtecan (HR 0.64; P=.0010)
- Progression-free survival improved from 5.1 months to 9.9 months (HR 0.50; P<.0001)

This benefit was consistent across both hormone receptor-positive and hormone receptor-negative subgroups, though hormone receptor-positive patients must also be refractory to endocrine therapy to qualify for this recommendation.

The recommendation for trastuzumab deruxtecan is rated as strong with moderate-quality evidence, with benefits clearly outweighing potential harms, including a 12.1% incidence of drug-related interstitial lung disease. TERMINATE",breast_cancer_5,breast_cancer_5,TRUE,YES
"In patients with hormone receptor-positive, HER2-negative metastatic breast cancer and ESR1 mutations detected in ctDNA, what is the preferred therapy after prior CDK4/6 inhibitor treatment?",Elacestrant is recommended as it showed improved PFS compared to standard endocrine therapy in the EMERALD trial.,"Based on the information provided, I can answer your specific question about preferred therapy for patients with hormone receptor-positive, HER2-negative metastatic breast cancer and ESR1 mutations detected in ctDNA after prior CDK4/6 inhibitor treatment.

The ASCO guideline update clearly recommends elacestrant as a preferred therapy option for these patients. Elacestrant demonstrated improved progression-free survival compared to standard-of-care endocrine therapy in patients with ESR1 mutations, showing a median PFS of 3.8 months versus 1.9 months for standard therapy, and 6-month PFS rates of 41% versus 19%.

Other acceptable treatment options include:
- Other endocrine therapy (ET) alone
- ET in combination with targeted agents such as:
  * Alpelisib (specifically for patients who also have PIK3CA mutations)
  * Everolimus

These recommendations are particularly based on the EMERALD trial results and received a strong recommendation from the expert panel. It's also worth noting that ESR1 mutation testing should be performed at the time of progression, preferably using blood-based ctDNA testing due to its greater sensitivity.

TERMINATE",breast_cancer_3,breast_cancer_3,TRUE,YES
What considerations are necessary when prescribing trastuzumab deruxtecan for HER2-low metastatic breast cancer?,"Patients should be monitored for interstitial lung disease, which occurred in 12.1% of patients treated with trastuzumab deruxtecan in the DESTINY-Breast04 trial.","Based on the ASCO guideline update, here are the key considerations when prescribing trastuzumab deruxtecan for HER2-low metastatic breast cancer:

1. Patient Eligibility:
   - HER2-low status must be confirmed (IHC 1+ or IHC 2+ with negative ISH)
   - Patients with HER2 IHC 0 are not eligible
   - Patient must have received at least one prior line of chemotherapy for metastatic disease
   - For hormone receptor-positive disease, patients must be endocrine-refractory
   - Can be used for both hormone receptor-positive and negative disease

2. Efficacy Considerations:
   - Offers significant improvement in progression-free survival and overall survival compared to conventional chemotherapy
   - Hormone receptor-positive patients: 10.1 vs 5.4 months median PFS; 23.9 vs 17.5 months median OS
   - Hormone receptor-negative patients: 8.5 vs 2.9 months median PFS; 18.2 vs 8.3 months median OS

3. Safety Monitoring:
   - Regular and vigilant monitoring for interstitial lung disease/pneumonitis, which occurred in 12.1% of patients
   - Awareness of potential severity grades of ILD/pneumonitis, including fatal cases (0.8%)
   - Follow standard guidelines for monitoring other chemotherapy-related toxicities

4. Treatment Context:
   - Strong recommendation based on moderate quality evidence
   - Represents the first HER2-directed therapy showing benefit in HER2-low breast cancer
   - Positioned as an option after standard chemotherapy in the metastatic setting
   - Alternative to traditional chemotherapy options

5. Clinical Decision-Making:
   - Benefits outweigh risks according to ASCO panel assessment
   - Median treatment duration was 8.2 months in the clinical trial
   - Careful consideration of the risk-benefit profile for each individual patient

These considerations help ensure appropriate patient selection, effective monitoring (particularly for lung toxicity), and optimal clinical outcomes when prescribing trastuzumab deruxtecan for HER2-low metastatic breast cancer.

TERMINATE",breast_cancer_5,breast_cancer_5,TRUE,YES
"What are the therapy options for hormone receptor-positive, HER2-negative metastatic breast cancer with PIK3CA mutations?",Endocrine therapy combined with alpelisib,"I'll review this information and provide a clear answer to your question.

Based on the guidelines for hormone receptor-positive, HER2-negative metastatic breast cancer with PIK3CA mutations, the primary recommended therapy is:

Alpelisib in combination with fulvestrant for:
- Postmenopausal women and male patients
- Who have received prior endocrine therapy including an aromatase inhibitor
- With or without prior CDK4/6 inhibitor treatment

The treatment sequence generally recommends that patients receive CDK4/6 inhibitors with endocrine therapy before starting alpelisib or everolimus.

For implementation of this therapy:
1. PIK3CA mutation testing should be performed using next-generation sequencing in tumor tissue or cell-free DNA from plasma
2. Baseline metabolic testing (HbA1c and fasting glucose) is required
3. Close monitoring is needed during the first 4 weeks (weekly lab work)
4. Preventive measures for common side effects like rash should be considered
5. Patients with uncontrolled diabetes should not receive alpelisib

This recommendation is evidence-based with high-quality evidence (primarily from the SOLAR-1 trial) showing improved progression-free survival with this combination.

TERMINATE",breast_cancer_3,breast_cancer_13,FALSE,YES
